 序号,所属区县,停车场编号,停车场类型,所属道路,泊位数量,大型泊位,小型泊位,起始地点,终止地点,开发时间-起,开发时间-止,负责人,联系电话,经营单位,收费时段1,收费时段2,收费标准1,收费标准2,备注,首次通过审批时间
1,大兴,6018,01,林校北路,16,0,16,,,2008/7/1,2008/7/1,,,,,,,,"林校北路南侧北侧路侧,",2008/9/23
2,大兴,6022,01,清源路,30,0,30,,,2008/7/1,2008/7/1,,,,,,,,"清源路南侧北侧路侧,",2008/9/23
3,大兴,6030,01,科苑路,61,0,61,,,2008/7/1,2008/7/1,,,,,,,,"科苑路南侧北侧路侧,",2008/9/23
4,延庆,6053,01,东顺城街,67,0,67,,,2008/7/1,2008/7/1,,,,,,,,"东顺城街东侧西侧路侧,",2008/9/23
5,延庆,6056,01,县城西街,17,0,17,,,2008/7/1,2008/7/1,,,,,,,,"县城西街北侧路侧,",2008/9/23
6,延庆,6061,01,香苑街,56,0,56,,,2008/7/1,2008/7/1,,,,,,,,"香苑街西侧路侧,",2008/9/23
7,延庆,6069,01,湖北西路,28,0,28,,,2008/7/1,2008/7/1,,,,,,,,"湖北西路北侧路侧,",2008/9/23
8,西城,5714,01,三里河北街,28,0,28,,,2008/7/1,2008/7/1,,,,,,,,"三里河北街东侧路侧,",2008/9/23
9,海淀,5903,01,首体南路,194,0,194,,,2008/6/1,2008/6/1,,,,,,,,"首体南路东侧西侧路侧,",2008/9/23
10,丰台,5928,01,马家堡东路,100,0,100,,,,,,,,,,,,,2008/9/23
11,东城,5111,01,魏家胡同,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"魏家胡同南侧北侧路侧,",2008/9/23
12,西城,5712,01,地臧庵中巷,19,0,19,,,2008/6/1,2008/6/1,,,,,,,,"地臧庵中巷东侧路侧,",2008/9/23
13,海淀,5879,01,柳林馆路,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"柳林馆路东侧路侧,",2008/9/23
14,朝阳,5604,01,花家地街,170,0,170,,,2008/7/1,2008/7/1,,,,,,,,"花家地街东侧西侧路侧,",2008/9/23
15,西城,5692,01,西皇城根北口,17,0,17,,,2008/6/1,2008/6/1,,,,,,,,"西皇城根北口东侧便道,",2008/9/23
16,西城,5695,01,后广平胡同,55,0,55,,,2008/7/1,2008/7/1,,,,,,,,"后广平胡同南侧北侧路侧,",2008/9/23
17,西城,5698,01,国企大厦北侧路,33,0,33,,,2008/7/1,2008/7/1,,,,,,,,"国企大厦北侧路东侧西侧路侧,",2008/9/23
18,西城,5707,01,三里河七巷,43,0,43,,,2008/6/1,2008/6/1,,,,,,,,"三里河七巷东侧路侧,",2008/9/23
19,东城,5725,01,天坛东路,150,0,150,,,2008/7/1,2008/7/1,,,,,,,,"天坛东路西侧东侧路侧,",2008/9/23
20,东城,5731,01,景泰路,17,0,17,,,2008/7/1,2008/7/1,,,,,,,,"景泰路西侧路侧,",2008/9/23
21,东城,5742,01,广渠门南小街,52,0,52,,,2008/7/1,2008/7/1,,,,,,,,"广渠门南小街南侧北侧路侧,",2008/9/23
22,西城,5759,01,太平街,32,0,32,,,2008/6/1,2008/6/1,,,,,,,,"太平街西侧路侧,",2008/9/23
23,西城,5775,01,槐柏树街,30,0,30,,,2008/6/1,2008/6/1,,,,,,,,"槐柏树街北侧路侧,",2008/9/23
24,朝阳,5812,01,柳芳街,21,0,21,,,2008/7/1,2008/7/1,,,,,,,,"柳芳街北侧路侧,",2008/9/23
25,朝阳,5816,01,文学馆路,257,0,257,,,2008/7/1,2008/7/1,,,,,,,,"文学馆路南侧北侧路侧,",2008/9/23
26,朝阳,5820,01,朝阳党校路,30,0,30,,,2008/7/1,2008/7/1,,,,,,,,"朝阳党校路西侧路侧,",2008/9/23
27,海淀,5881,01,车公庄西路,411,0,411,,,2008/7/1,2008/7/1,,,,,,,,"车公庄西路南侧北侧路侧,",2008/9/23
28,海淀,5891,01,苏州街,156,0,156,,,2008/6/1,2008/6/1,,,,,,,,"苏州街东侧西侧路侧,",2008/9/23
29,海淀,5901,01,上地开拓路,101,0,101,,,2008/6/1,2008/6/1,,,,,,,,"上地开拓路东侧路侧,",2008/9/23
30,海淀,5915,01,皂君庙路,149,0,149,,,2008/6/1,2008/6/1,,,,,,,,"皂君庙路东侧西侧路侧,",2008/9/23
31,丰台,5925,01,广安路,110,0,110,,,2008/6/1,2008/6/1,,,,,,,,"广安路南侧北侧路侧,",2008/9/23
32,丰台,5927,01,蒲黄榆路,95,0,95,,,2008/6/1,2008/6/1,,,,,,,,"蒲黄榆路东侧西侧路侧,",2008/9/23
33,丰台,5929,01,太平桥西街,104,0,104,,,2008/6/1,2008/6/1,,,,,,,,"太平桥西街南侧北侧路侧,",2008/9/23
34,丰台,5931,01,帝京路,26,0,26,,,2008/6/1,2008/6/1,,,,,,,,"帝京路东侧路侧,",2008/9/23
35,丰台,6158,01,玉林东路,39,0,39,,,2008/6/1,2008/6/1,,,,,,,,"玉林东路东侧西侧路侧,",2008/9/23
36,丰台,5936,01,东安街三条,43,0,43,,,2008/6/1,2008/6/1,,,,,,,,"东安街三条南侧路侧,",2008/9/23
37,丰台,5938,01,开阳里一街,45,0,45,,,2008/6/1,2008/6/1,,,,,,,,"开阳里一街南侧路侧,",2008/9/23
38,丰台,5939,01,开阳里二街,78,0,78,,,2008/6/1,2008/6/1,,,,,,,,"开阳里二街南侧北侧路侧,",2008/9/23
39,丰台,5943,01,大红门路,280,0,280,,,2008/6/1,2008/6/1,,,,,,,,"大红门路东侧西侧路侧,",2008/9/23
40,丰台,5945,01,角门北路,135,0,135,,,2008/6/1,2008/6/1,,,,,,,,"角门北路南侧北侧路侧,",2008/9/23
41,丰台,6160,01,开阳路,98,0,98,,,2008/6/1,2008/6/1,,,,,,,,"开阳路东侧西侧路侧,",2008/9/23
42,丰台,6162,01,蒲方路,187,0,187,,,2008/6/1,2008/6/1,,,,,,,,"蒲方路南侧北侧路侧,",2008/9/23
43,丰台,6164,01,青塔西路,464,0,464,,,2008/6/1,2008/6/1,,,,,,,,"青塔西路西侧路侧,",2008/9/23
44,西城,5206,01,西安门大街,40,0,40,,,2008/6/1,2008/6/1,,,,,,,,"西安门大街南侧北侧路侧,",2008/9/23
45,西城,5208,01,织女桥东河沿,13,0,13,,,2008/6/1,2008/6/1,,,,,,,,"织女桥东河沿东侧路侧,",2008/9/23
46,西城,6611,01,西交民巷,23,0,23,,,2008/6/1,2008/6/1,,,,,,,,"西交民巷南侧路侧,",2008/9/23
47,西城,5251,01,太仆寺街,14,0,14,,,2008/6/1,2008/6/1,,,,,,,,"太仆寺街北侧路侧,",2008/9/23
48,西城,5254,01,双栅栏胡同,15,0,15,,,2008/6/1,2008/6/1,,,,,,,,"双栅栏胡同东侧 ,路侧,",2008/9/23
49,西城,5720,01,贤孝里胡同,10,0,10,,,2008/6/1,2008/6/1,,,,,,,,"贤孝里胡同东侧路侧,",2008/9/23
50,丰台,5923,01,莲香园路,60,0,60,,,2008/6/1,2008/6/1,,,,,,,,"莲香园路东侧西侧路侧,",2008/9/23
51,丰台,5924,01,西罗园路,74,0,74,,,2008/7/1,2008/7/1,,,,,,,,"西罗园路南侧路侧,",2008/9/23
52,丰台,5930,01,科兴路,90,0,90,,,2008/6/1,2008/6/1,,,,,,,,"科兴路南侧北侧路侧,",2008/9/23
53,东城,5067,01,地东大街,8,0,8,,,2008/6/1,2008/6/1,,,,,,,,"地东大街北侧路侧,",2008/9/23
54,昌平,7195,01,昌盛路,160,0,160,,,2008/9/1,2008/9/1,,,,,,,,昌盛路东侧西侧路侧,2008/9/23
55,西城,6623,01,二龙路,62,0,62,,,2008/6/1,2008/6/1,,,,,,,,"二龙路东侧南侧路侧,",2008/9/23
56,西城,5218,01,广宁伯街,9,0,9,,,2008/6/1,2008/6/1,,,,,,,,"广宁伯街南侧路侧,",2008/9/23
57,西城,5220,01,西便门东街,30,0,30,,,2008/6/1,2008/6/1,,,,,,,,"西便门东街北侧路侧,",2008/9/23
58,西城,5709,01,三里河路南侧东辅路,40,0,40,,,2008/6/1,2008/6/1,,,,,,,,"三里河路南侧东辅路西侧路侧,",2008/9/23
59,西城,5706,01,三里河六巷南侧路,17,0,17,,,2008/6/1,2008/6/1,,,,,,,,"三里河六巷南侧路南侧路侧,",2008/9/23
60,西城,5708,01,三里河南五巷,8,0,8,,,2008/6/1,2008/6/1,,,,,,,,"三里河南五巷西侧路侧,",2008/9/23
61,西城,5231,01,月坛北小街,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"月坛北小街东侧西侧路侧,",2008/9/23
62,西城,6635,01,宗帽胡同,33,0,33,,,2008/6/1,2008/6/1,,,,,,,,"宗帽胡同南侧北侧路侧,",2008/9/23
63,西城,5428,01,金融街,76,0,76,,,2008/6/1,2008/6/1,,,,,,,,"金融街东侧西侧路侧,",2008/9/23
64,西城,5228,01,车公庄大街,309,0,309,,,2008/7/1,2008/7/1,,,,,,,,"车公庄大街南侧北侧路侧,",2008/9/23
65,西城,5267,01,地臧庵,14,0,14,,,2008/6/1,2008/6/1,,,,,,,,"地臧庵东侧路侧,",2008/9/23
66,西城,5270,01,南礼士路三条,36,0,36,,,2008/6/1,2008/6/1,,,,,,,,"南礼士路三条南侧北侧路侧,",2008/9/23
67,西城,5271,01,南礼士路二条,42,0,42,,,2008/6/1,2008/6/1,,,,,,,,"南礼士路二条南侧路侧,",2008/9/23
68,西城,5268,01,二七剧场东里,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"二七剧场东里西侧路侧,",2008/9/23
69,西城,6637,01,南滨河路,81,0,81,,,2008/6/1,2008/6/1,,,,,,,,"南滨河路南侧北侧路侧,",2008/9/23
70,西城,5694,01,礼士路头条,32,0,32,,,2008/6/1,2008/6/1,,,,,,,,"礼士路头条南侧路侧,",2008/9/23
71,西城,5219,01,乐道巷,30,0,30,,,2008/6/1,2008/6/1,,,,,,,,"乐道巷北侧路侧,",2008/9/23
72,西城,5235,01,文兴东街,13,0,13,,,2008/7/1,2008/7/1,,,,,,,,"文兴东街西侧路侧,",2008/9/23
73,西城,5260,01,六铺炕二巷,55,0,55,,,2008/7/1,2008/7/1,,,,,,,,"六铺炕二巷西侧路侧,",2008/9/23
74,西城,5269,01,地臧庵东巷,16,0,16,,,2008/6/1,2008/6/1,,,,,,,,"地臧庵东巷西侧路侧,",2008/9/23
75,西城,5275,01,西什库大街,175,0,175,,,2008/6/1,2008/6/1,,,,,,,,"西什库大街东侧西侧路侧,",2008/9/23
76,西城,5787,01,西草场街,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"西草场街北侧路侧,",2008/9/23
77,西城,6277,01,马连道南街,98,0,98,,,2008/7/1,2008/7/1,,,,,,,,"马连道南街南侧北侧路侧,",2008/9/23
78,海淀,5906,01,永泰大街,56,0,56,,,2008/6/1,2008/6/1,,,,,,,,"永泰大街西侧路侧,",2008/9/23
79,东城,5085,01,金鱼胡同,7,0,7,,,2008/6/1,2008/6/1,,,,,,,,"金鱼胡同南侧便道,",2008/9/23
80,东城,5202,01,金鱼胡同东口东北角,25,0,25,,,,,,,,,,,,"金鱼胡同东口东北角东侧便道,",2008/9/23
81,西城,6279,01,马连道南街东延路,18,0,18,,,2008/7/1,2008/7/1,,,,,,,,"马连道南街东延路南侧北侧路侧,",2008/9/23
82,西城,5789,01,椿树园小区西侧路,88,0,88,,,2008/9/1,2008/9/1,,,,,,,,"椿树园小区前道路东侧西侧路侧,",2008/9/23
83,西城,6281,01,椿树园小区东侧路,35,0,35,,,2008/7/1,2008/7/1,,,,,,,,"椿树园小区东侧路西侧路侧,",2008/9/23
84,西城,5793,01,陶然亭路1,24,0,24,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路北侧路侧,",2008/9/23
85,西城,6283,01,陶然亭路办事处门前2,26,0,26,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路办事处门前北侧便道,",2008/9/23
86,西城,6285,01,陶然亭路百通电子市场3,15,0,15,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路百通电子市场南侧便道,",2008/9/23
87,西城,6287,01,陶然亭路工商银行门前4,10,0,10,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路工商银行门前北侧便道,",2008/9/23
88,西城,6289,01,香炉营东巷,66,0,66,,,2008/7/1,2008/7/1,,,,,,,,"香炉营东巷西侧路侧,",2008/9/23
89,西城,6291,01,安平里,22,0,22,,,2008/7/1,2008/7/1,,,,,,,,"安平里南侧路侧,",2008/9/23
90,西城,6295,01,德泉胡同,25,0,25,,,2008/7/1,2008/7/1,,,,,,,,"德泉胡同南侧路侧,",2008/9/23
91,西城,6301,01,骡马市大街,30,0,30,,,2008/7/1,2008/7/1,,,,,,,,"骡马市大街南侧便道,",2008/9/23
92,东城,5740,01,金鱼池东街,26,0,26,,,2008/7/1,2008/7/1,,,,,,,,金鱼池东街东侧,2008/9/23
93,西城,5217,01,成方街,22,0,22,,,2008/6/1,2008/6/1,,,,,,,,"成方街南侧路侧,",2008/9/23
94,西城,5249,01,皇城根南街,45,0,45,,,2008/6/1,2008/6/1,,,,,,,,"皇城根南街东侧路侧,",2008/9/23
95,石景山,5970,01,鲁谷南路,47,0,47,,,,,,,,,,,,"路侧,",2008/9/23
96,东城,5722,01,前门东大街,119,0,119,,,2008/7/1,2008/7/1,,,,,,,,"前门东大街南侧北侧路侧,",2008/9/23
97,东城,5723,01,崇文门西大街,34,0,34,,,2008/7/1,2008/7/1,,,,,,,,"崇文门西大街南侧北侧路侧,",2008/9/23
98,东城,5724,01,崇文门外大街,80,0,80,,,2008/7/1,2008/7/1,,,,,,,,"崇文门外大街西侧东侧路侧,",2008/9/23
99,东城,5728,01,永定门东街,138,0,138,,,2008/6/1 1:00:00,2008/6/1 1:00:00,,,,,,,,"永定门东街南侧路侧,",2008/9/23
100,东城,5729,01,左安门内大街,77,0,77,,,2008/7/1,2008/7/1,,,,,,,,"左安门内大街西侧东侧路侧,",2008/9/23
101,东城,5730,01,白桥大街,95,0,95,,,2008/7/1,2008/7/1,,,,,,,,"白桥大街西侧东侧路侧,",2008/9/23
102,东城,5733,01,安乐林路,71,0,71,,,2008/7/1,2008/7/1,,,,,,,,"安乐林路南侧路侧,",2008/9/23
103,东城,5734,01,管村路,33,0,33,,,2008/7/1,2008/7/1,,,,,,,,"管村路南侧北侧路侧,",2008/9/23
104,东城,5735,01,幸福大街便道,21,0,21,,,2008/7/1,2008/7/1,,,,,,,,幸福大街便道东侧,2008/9/23
105,东城,5736,01,金鱼池中街,44,0,44,,,2008/7/1,2008/7/1,,,,,,,,"金鱼池中街东侧路侧,",2008/9/23
106,东城,5741,01,崇文门西小街,11,0,11,,,2008/6/1 1:00:00,2008/6/1 1:00:00,,,,,,,,"崇文门西小街北侧路侧,",2008/9/23
107,东城,5747,01,东兴隆街,42,0,42,,,2008/7/1,2008/7/1,,,,,,,,"东兴隆街南侧北侧路侧,",2008/9/23
108,东城,5726,01,体育馆路,160,0,160,,,2008/7/1,2008/7/1,,,,,,,,"体育馆路南侧北侧路侧,",2008/9/23
109,东城,5738,01,南小市街,31,0,31,,,2008/7/1,2008/7/1,,,,,,,,"南小市街东侧路侧,",2008/9/23
110,东城,5746,01,永外大街旧路,36,0,36,,,2008/7/1,2008/7/1,,,,,,,,"永外大街旧路东侧路侧,",2008/9/23
111,东城,6130,01,马家堡东路,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"马家堡东路东侧路侧,",2008/9/23
112,丰台,5937,01,丰台法院东侧路,154,0,154,,,2008/6/1,2008/6/1,,,,,,,,"丰台法院东侧路东侧西侧路侧,",2008/9/23
113,丰台,5946,01,嘉和路,94,0,94,,,2008/6/1,2008/6/1,,,,,,,,"嘉和路南侧北侧路侧,",2008/9/23
114,丰台,5949,01,方庄南路,110,0,110,,,2008/6/1,2008/6/1,,,,,,,,"方庄南路东侧西侧路侧,",2008/9/23
